,ra,dec_x,Nobs,filter,Name,coord,Type,dec_y
70,317.54,48.71640000000002,152,zg,12237,211009.55 +484258.5,M,48.71625
71,293.024,51.296890000000005,58,zg,12297,193205.70 +511748.5,RR,51.29680555555555
72,293.024,28.806700000000024,126,zg,12076,193205.74 +284823.7,M,28.806583333333332
73,294.732,34.487620000000014,56,zg,12308,193855.75 +342915.4,M,34.487611111111114
74,294.732,11.247780000000011,120,zg,1949,193855.64 +111453.1,EA,11.248083333333332
75,296.17,54.653840000000024,61,zg,12316,194440.83 +543914.2,EA,54.65394444444444
76,317.448,46.26893999999999,129,zg,12393,210947.56 +461608.3,M,46.268972222222224
77,317.849,44.22231000000002,39,zg,12394,211123.83 +441320.2,M,44.22227777777778
78,319.76,36.902160000000016,48,zg,12400,211902.28 +365407.7,RR,36.902138888888885
79,324.919,43.30561000000002,52,zg,12412,213940.65 +431820.3,SRA,43.305638888888886
80,314.812,-6.205669999999971,27,zg,1243,205914.88 -061220.4,UG,-6.205666666666667
81,299.821,41.34637000000001,61,zg,12457,195916.94 +412047.3,M,41.346472222222225
82,300.216,39.05847000000003,52,zg,12458,200051.88 +390331.1,M,39.058638888888886
83,300.818,36.91539000000003,147,zg,12463,200316.42 +365456.5,IS,36.91569444444444
84,322.479,1.0065899999999988,43,zg,1248,212955.05 +010023.7,RRAB,1.0065833333333334
85,292.869,29.773069999999993,141,zg,12498,193128.61 +294622.9,EA/SD,29.773027777777777
86,294.521,32.746920000000024,58,zg,12502,193805.14 +324449.3,SRB,32.74702777777778
87,300.347,40.11053,54,zg,12510,200123.18 +400638.0,M,40.11055555555556
88,308.152,40.12442999999998,148,zg,12538,203236.43 +400727.9,RR,40.12441666666667
89,308.763,40.22616999999998,152,zg,12540,203503.19 +401334.4,L,40.226222222222226
90,329.447,52.369539999999986,83,zg,12550,215747.32 +522210.4,M,52.36955555555556
91,330.032,55.19093,146,zg,12555,220007.76 +551127.6,EA/SD,55.190999999999995
92,330.323,54.54259999999999,143,zg,12558,220117.42 +543233.6,SR,54.54266666666666
93,329.16,54.017300000000006,145,zg,12573,215638.31 +540102.0,E,54.01722222222222
94,329.548,55.17036000000002,146,zg,12575,215811.60 +551013.4,RRAB,55.17038888888889
95,17.006,36.88924999999999,50,zg,126,010801.37 +365321.6,EA,36.88933333333333
96,299.224,36.80209,143,zg,12602,195653.69 +364807.1,LB,36.80197222222222
97,301.952,36.047640000000015,148,zg,12615,200748.59 +360252.0,IS,36.047777777777775
98,302.187,35.67535,148,zg,12616,200844.84 +354031.6,IS,35.675444444444445
99,302.257,35.69350999999999,148,zg,12617,200901.69 +354137.1,IS,35.693638888888884
100,318.354,44.02357,49,zg,12620,211324.95 +440125.1,M,44.02363888888889
101,299.961,43.70437,62,zg,12646,195950.71 +434215.5,RRAB,43.70430555555556
102,307.95,53.80139999999999,56,zg,12654,203147.98 +534805.3,SRB,53.801472222222216
103,307.808,55.46811999999999,60,zg,12655,203113.83 +552805.6,L,55.468222222222224
104,307.808,60.61310999999999,55,zg,9169,203113.99 +603647.4,EW,60.613166666666665
105,324.959,42.25160999999998,53,zg,12700,213950.24 +421505.5,LB,42.25152777777778
106,325.617,43.26601000000001,52,zg,12704,214228.07 +431557.6,RR,43.266
107,325.291,36.65267999999999,54,zg,12743,214109.88 +363909.4,EA/SD,36.652611111111106
108,329.1,0.9417700000000001,40,zg,1280,215623.95 +005630.2,RR(B),0.9417222222222222
109,308.585,43.68401999999998,148,zg,12812,203420.41 +434102.4,UV,43.684
110,326.836,47.53442999999999,87,zg,12845,214720.66 +473204.6,FU,47.53461111111111
111,330.185,52.52332999999998,143,zg,12849,220044.32 +523124.3,SR,52.52341666666666
112,335.56,1.0166700000000028,35,zg,1285,222214.32 +010059.8,RR(B),1.0166111111111111
113,307.969,43.18173,129,zg,12861,203152.48 +431054.2,UV,43.18172222222222
114,308.057,43.269060000000025,150,zg,12862,203213.64 +431608.5,UV,43.26902777777778
115,319.779,37.07066999999998,39,zg,12866,211907.00 +370414.6,M,37.07072222222222
116,308.943,41.191230000000004,153,zg,12886,203546.30 +411128.6,UV,41.19127777777778
117,310.072,35.98507000000001,142,zg,12918,204017.23 +355906.5,M,35.98513888888889
118,310.55,35.87111999999998,105,zg,12919,204211.98 +355216.5,SRA,35.87125
119,310.55,19.15647999999998,43,zg,14003,204212.03 +190923.5,RV,19.156527777777775
120,310.565,35.97451999999998,77,zg,12922,204215.65 +355828.3,M,35.97452777777778
121,313.114,36.910180000000025,43,zg,12964,205227.44 +365435.7,M,36.90991666666667
122,314.183,44.07054000000001,148,zg,13008,205644.03 +440413.9,INT,44.070527777777784
123,326.088,35.38734999999998,55,zg,13042,214421.02 +352314.4,EA/SD,35.38733333333333
124,307.632,52.63082,59,zg,13047,203031.66 +523751.0,NA+E,52.630833333333335
125,299.558,29.691670000000016,115,zg,13073,195813.88 +294130.4,M,29.691777777777776
126,300.624,29.861350000000012,115,zg,13075,200229.72 +295141.0,M,29.86138888888889
127,302.432,31.985730000000007,117,zg,13081,200943.75 +315908.7,M,31.98575
128,315.824,44.15838000000002,148,zg,13118,210317.85 +440930.2,LB,44.15838888888889
129,315.824,46.14819000000001,152,zg,11611,210317.76 +460853.3,EA/DS,46.14813888888889
130,317.013,46.52075999999998,152,zg,13123,210803.15 +463114.5,LB,46.520694444444445
131,302.456,30.574739999999995,149,zg,13147,200949.47 +303428.9,E,30.574694444444443
132,308.326,41.29428999999999,153,zg,13150,203318.29 +411739.6,BCEP,41.294333333333334
133,308.327,41.25976000000002,152,zg,13151,203318.55 +411535.5,BE,41.259861111111114
134,308.353,41.36792000000002,153,zg,13153,203324.75 +412204.1,BCEP,41.367805555555556
135,308.377,41.33807999999997,152,zg,13154,203330.53 +412017.4,EA,41.338166666666666
136,319.311,54.41157,144,zg,13166,211714.57 +542441.8,M,54.41161111111111
137,294.497,30.88580000000002,55,zg,13175,193759.26 +305309.9,EA,30.886083333333332
138,294.53,30.86670000000002,55,zg,13176,193807.24 +305201.0,DSCTC,30.866944444444446
139,299.634,36.82793999999997,117,zg,13185,195832.16 +364940.0,SR,36.82777777777778
140,329.506,55.05176000000003,145,zg,13223,215801.49 +550307.0,SR,55.051944444444445
141,329.736,55.226710000000026,144,zg,13225,215856.65 +551336.5,SR,55.22680555555556
142,309.583,34.205710000000025,117,zg,13266,203819.81 +341220.7,LB,34.20575
143,317.807,34.320669999999986,56,zg,13277,211113.62 +341914.4,L,34.32066666666667
144,325.793,35.75376000000001,55,zg,13294,214310.31 +354513.6,SR,35.75377777777778
145,296.277,53.39344999999998,61,zg,13353,194506.39 +532336.3,EW,53.39341666666667
146,296.277,3.931360000000001,47,zg,2806,194506.58 +035553.2,LB,3.9314444444444443
147,306.848,47.81441999999999,54,zg,13365,202723.49 +474851.9,SR,47.814416666666666
148,310.329,34.74787,145,zg,13369,204119.01 +344452.3,ZAND,34.74786111111111
149,325.982,42.92370999999999,52,zg,13398,214355.63 +425525.3,SR,42.92369444444444
150,326.583,49.90639000000001,118,zg,13399,214619.98 +495422.9,M,49.90636111111111
151,326.583,48.113900000000015,140,zg,11525,214620.04 +480650.5,M,48.11402777777778
152,329.21,55.23950000000002,63,zg,13402,215650.35 +551421.8,SR,55.23938888888889
153,299.639,29.868480000000005,103,zg,13407,195833.39 +295206.5,NA,29.868472222222223
154,303.389,58.606879999999755,59,zg,13445,201333.36 +583624.9,EW,58.60691666666667
155,307.508,53.44648,60,zg,13454,203001.87 +532647.4,SR,53.44649999999999
156,317.893,44.19997999999998,47,zg,13475,211134.40 +441200.0,DSCT,44.2
157,318.327,54.53291,57,zg,13499,211318.41 +543158.4,SR,54.53288888888889
158,320.764,37.0522,47,zg,13515,212303.30 +370308.0,EA,37.05222222222222
159,321.111,36.85027000000001,51,zg,13523,212426.74 +365101.2,EW,36.85033333333333
160,321.542,36.99687000000003,51,zg,13527,212610.19 +365948.9,EW,36.99691666666667
161,322.19,37.07610000000002,41,zg,13532,212845.56 +370434.0,EW,37.07611111111112
162,291.904,43.85267000000001,56,zg,13547,192737.00 +435109.6,EB,43.85266666666667
163,291.904,3.3864600000000014,44,zg,2401,192736.88 +032311.6,M,3.3865555555555553
164,299.364,43.29554000000002,61,zg,13579,195727.47 +431744.0,EW,43.29555555555555
165,288.585,50.61149000000001,55,zg,13715,191420.49 +503641.4,SRB,50.6115
166,299.684,37.24257000000003,61,zg,13748,195844.27 +371433.3,LB,37.242583333333336
167,299.766,38.34286999999999,61,zg,13749,195903.74 +382034.3,DSCT,38.34286111111111
168,299.766,14.764029999999975,50,zg,2041,195903.87 +144550.8,M,14.764111111111111
169,299.808,38.23580000000001,61,zg,13750,195913.86 +381408.8,EB,38.23577777777778
170,299.883,38.23712999999998,61,zg,13752,195931.85 +381413.6,DSCTC,38.23711111111111
171,325.433,42.84144000000003,51,zg,13755,214143.93 +425029.1,NA,42.84141666666667
172,305.173,15.25420999999999,45,zg,13765,202041.49 +151514.9,RRAB,15.254138888888889
173,306.873,16.86261999999999,46,zg,13797,202729.44 +165146.1,M,16.862805555555557
174,307.072,18.554769999999984,52,zg,13798,202817.25 +183317.2,EA/SD,18.55477777777778
175,312.055,15.365219999999994,51,zg,13824,204813.30 +152155.7,RRAB,15.365472222222222
176,309.526,13.551700000000025,21,zg,13838,203806.17 +133305.6,EA/SD,13.551555555555556
177,307.229,15.220590000000016,45,zg,13864,202854.86 +151313.9,RRC,15.220527777777779
178,309.206,11.339430000000023,47,zg,13875,203649.45 +112022.5,RRAB,11.339583333333334
179,310.439,15.384200000000021,52,zg,13882,204145.45 +152304.1,L,15.384472222222222
180,307.051,19.439539999999973,51,zg,13911,202812.27 +192622.2,EA/SD,19.4395
181,314.061,16.671939999999978,55,zg,13921,205614.67 +164018.8,RRAB,16.67188888888889
182,311.467,15.448030000000022,47,zg,13938,204552.16 +152653.3,RRAB,15.44813888888889
183,314.121,17.880790000000008,55,zg,13944,205629.09 +175250.7,RR,17.88075
184,309.231,14.052640000000002,42,zg,13953,203655.52 +140310.2,UG,14.052833333333334
185,307.09,16.594299999999997,51,zg,13970,202821.68 +163539.6,EA,16.59433333333333
186,315.184,15.331789999999977,53,zg,14039,210044.08 +151954.6,EB,15.331833333333334
187,315.366,15.469669999999988,39,zg,14041,210127.75 +152810.8,EW,15.469666666666667
188,315.366,33.66360999999998,56,zg,13612,210127.93 +333948.9,EW,33.663583333333335
189,315.394,15.38771000000002,53,zg,14042,210134.59 +152315.7,EW,15.387694444444444
190,245.274,58.4508999999998,49,zg,14129,162105.74 +582702.9,RRC,58.45080555555556
191,274.571,55.059250000000006,52,zg,14135,181817.10 +550332.5,EA/SD,55.05902777777777
192,296.424,58.53869999999974,56,zg,14158,194541.72 +583219.4,EA/SD,58.53872222222222
193,309.693,69.60237999999995,51,zg,14184,203846.37 +693608.7,E,69.60241666666666
194,305.583,62.884069999999966,48,zg,14200,202220.02 +625302.5,M,62.884027777777774
195,293.763,62.32954000000021,53,zg,14233,193503.07 +621946.5,IA,62.32958333333334
196,305.832,65.47187000000001,45,zg,14238,202319.62 +652818.5,M,65.47180555555556
197,305.909,64.60739000000004,44,zg,14255,202338.19 +643626.9,UGSU,64.60747222222221
